Title,Date,Activity Type,Tag,Rank,Steps,Distance [km],Time [hh:mm'ss"],Pace [mm'ss"/km],Speed [km/h],Cadence [step/min],Stride [cm],Clories [kcal],Avg. HR [num/min],Max. HR [num/min]	,Min. HR [num/min],Weather,Temperature [℃],Notes,TrainingEffect,Ascent [m],Descent [m]
"workout 203",2019/08/17,Run,training,,9390,10.113,0:54'59",5'26",,170,107,529,144,,,,,,3.4,92,95
"workout 204",2019/08/19,Run,training,,9158,10.495,0:52'29",5'0",,174,113,575,157,,,,,,4.9,87,66
"workout 205",2019/08/21,Run,training,,4839,5.339,0:28'4",5'15",,172,109,268,143,,,,,,3.1,71,64
"workout 206",2019/08/24,Run,training,,4777,5.449,0:28'2",5'8",,170,110,299,149,,,,,,3.3,45,57
"workout 207",2019/08/25,Run,training,,8945,10.194,0:51'4",5'0",,174,112,540,148,,,,,,4.0,113,78
"workout 208",2019/08/27,Run,training,,4826,5.456,0:28'4",5'8",,171,111,276,141,,,,,,3.1,39,60
"workout 209",2019/08/29,Run,training,,4893,5.512,0:28'17",5'7",,172,112,277,140,,,,,,3.0,52,65
"workout 210",2019/08/31,Run,training,,8791,10.081,0:50'51",5'2",,172,114,527,146,,,,,,3.9,71,88
"workout 211",2019/09/01,Run,training,,14270,15.071,1:24'33",5'36",,168,105,898,149,,,,,,4.9,154,156
"workout 212",2019/09/03,Run,training,,4677,5.423,0:26'47",4'56",,174,113,284,149,,,,,,3.3,69,72
"workout 213",2019/09/06,Run,training,,4942,5.558,0:28'50",5'11",,171,110,275,139,,,,,,3.0,103,86
"workout 214",2019/09/07,Run,training,,6932,7.658,0:40'21",5'16",,171,108,406,144,,,,,,3.5,70,124
"workout 215",2019/09/10,Run,training,,4678,5.515,0:26'49",4'51",,174,115,283,149,,,,,,3.3,69,61
"workout 216",2019/09/12,Run,training,,4560,5.453,0:25'58",4'45",,175,116,286,153,,,,,,3.5,75,100
"workout 217",2019/09/14,Run,training,,9201,10.56,0:53'19",5'2",,172,113,607,156,,,,,,4.9,216,80
"workout 218",2019/09/15,Run,training,,9220,10.179,0:53'53",5'17",,171,109,553,146,,,,,,3.9,75,69
